cert,name,city,state,failure_date,pre_failure_assets,pre_failure_deposits,resolution_type,estimated_loss
57724,AMERICANFIRST BANK,CLERMONT,,4/16/2010,104034,100070,FAILURE,16404
34242,BEACH FIRST NATIONAL BANK,MYRTLE BEACH,,4/9/2010,590024,521138,FAILURE,164585
34678,UNITY NATIONAL BANK,CARTERSVILLE,,3/26/2010,300590,264286,FAILURE,73589
34684,KEY WEST BANK,KEY WEST,,3/26/2010,88031,67662,FAILURE,16210
57060,DESERT HILLS BANK,PHOENIX,,3/26/2010,496552,426473,FAILURE,108862
57399,MCINTOSH COMMERCIAL BANK,CARROLLTON,,3/26/2010,363405,343339,FAILURE,164026
8221,STATE BANK OF AURORA,AURORA,,3/19/2010,28159,27801,FAILURE,7026
10054,BANK OF HIAWASSEE,HIAWASSEE,,3/19/2010,377779,339597,FAILURE,107263
18806,AMERICAN NATIONAL BANK,PARMA,,3/19/2010,70318,66752,FAILURE,14960
24957,FIRST LOWNDES BANK,FORT DEPOSIT,,3/19/2010,137175,131117,FAILURE,11725
33535,ADVANTA BANK CORP.,DRAPER,,3/19/2010,1525931,1519471,FAILURE,521525
33989,APPALACHIAN COMMUNITY BANK,ELLIJAY,,3/19/2010,1010075,917575,FAILURE,456455
58104,CENTURY SECURITY BANK,DULUTH,,3/19/2010,96535,93967,FAILURE,37707
27096,THE PARK AVENUE BANK,NEW YORK,,3/12/2010,520146,494505,FAILURE,76368
29561,STATEWIDE BANK,COVINGTON,,3/12/2010,243215,207821,FAILURE,26124
58182,OLD SOUTHERN BANK,ORLANDO,,3/12/2010,336390,319746,FAILURE,76501
58071,LIBERTYPOINTE BANK,NEW YORK,,3/11/2010,216500,209477,FAILURE,18407
9268,BANK OF ILLINOIS,NORMAL,,3/5/2010,211711,198487,FAILURE,18737
27126,SUN AMERICAN BANK,BOCA RATON,,3/5/2010,535724,443481,FAILURE,122301
34430,CENTENNIAL BANK,OGDEN,,3/5/2010,212839,205076,FAILURE,70515
34976,WATERFIELD BANK,GERMANTOWN,,3/5/2010,155566,156188,FAILURE,11322
38129,RAINIER PACIFIC BANK,TACOMA,,2/26/2010,717806,446192,FAILURE,2752
58352,CARSON RIVER COMMUNITY BANK,CARSON CITY,,2/26/2010,51095,50024,FAILURE,14451
3287,THE LA COSTE NATIONAL BANK,LA COSTE,,2/19/2010,53936,49275,FAILURE,5709
29952,GEORGE WASHINGTON SAVINGS BANK,ORLAND PARK,,2/19/2010,413673,395310,FAILURE,118852
32423,"LA JOLLA BANK, FSB",LA JOLLA,,2/19/2010,3646071,2799362,FAILURE,560147
57586,MARCO COMMUNITY BANK,MARCO ISLAND,,2/19/2010,119578,117097,FAILURE,25614
15448,1ST AMERICAN STATE BANK OF MINNESOTA,HANCOCK,,2/5/2010,18155,16327,FAILURE,4521
5672,FLORIDA COMMUNITY BANK,IMMOKALEE,,1/29/2010,835701,776556,FAILURE,308984
5702,COMMUNITY BANK & TRUST,CORNELIA,,1/29/2010,1181717,1067957,FAILURE,477153
16133,"MARSHALL BANK, NATIONAL ASSOCIATION",HALLOCK,,1/29/2010,58566,55662,FAILURE,1063
16480,FIRST NATIONAL BANK OF GEORGIA,CARROLLTON,,1/29/2010,840633,780196,FAILURE,203881
16730,AMERICAN MARINE BANK,BAINBRIDGE ISLAND,,1/29/2010,329246,287443,FAILURE,28352
23011,FIRST REGIONAL BANK,LOS ANGELES,,1/29/2010,2082684,1664450,FAILURE,224134
