cert,name,city,state,failure_date,pre_failure_assets,pre_failure_deposits,resolution_type,estimated_loss
58180,DEPARTMENT STORES NATIONAL BANK,SIOUX FALLS,,11/23/2008,374903,300881,ASSISTANCE,
16490,THE COMMUNITY BANK,LOGANVILLE,,11/21/2008,634901,603733,FAILURE,335062
28344,PFF BANK & TRUST,POMONA,,11/21/2008,3715433,2393845,FAILURE,258807
30968,"DOWNEY SAVINGS AND LOAN ASSOCIATION, F.A.",NEWPORT BEACH,,11/21/2008,12779371,9653169,FAILURE,151232
23595,SECURITY PACIFIC BANK,SAN DIEGO,,11/7/2008,527959,456472,FAILURE,148255
26870,"FRANKLIN BANK, SSB",HOUSTON,,11/7/2008,5089260,3692887,FAILURE,614111
57930,FREEDOM BANK,BRADENTON,,10/31/2008,270842,256793,FAILURE,113456
58241,ALPHA BANK & TRUST,ALPHARETTA,,10/24/2008,354090,344231,FAILURE,211264
13789,MERIDIAN BANK,ELDRED,,10/10/2008,38223,36090,FAILURE,16618
57654,MAIN STREET BANK,NORTHVILLE,,10/10/2008,112368,98934,FAILURE,56318
32633,WASHINGTON MUTUAL BANK,HENDERSON,,9/25/2008,307021614,188260793,FAILURE,0
6782,"AMERIBANK, INC.",NORTHFORK,,9/19/2008,103965,100901,FAILURE,38290
34194,SILVER STATE BANK,HENDERSON,,9/5/2008,1957120,1733091,FAILURE,722104
35469,INTEGRITY BANK,ALPHARETTA,,8/29/2008,1107514,962456,FAILURE,465942
22728,THE COLUMBIAN BANK AND TRUST COMPANY,TOPEKA,,8/22/2008,735071,620354,FAILURE,334277
57523,FIRST PRIORITY BANK,BRADENTON,,8/1/2008,258610,226698,FAILURE,95555
27011,FIRST NATIONAL BANK OF NEVADA,RENO,,7/25/2008,3411145,3038053,FAILURE,710037
57961,FIRST HERITAGE BANK N.A.,NEWPORT BEACH,,7/25/2008,255376,234812,FAILURE,92139
29730,INDYMAC BANK F.S.B,PASADENA,,7/11/2008,30698512,18941727,FAILURE,11982626
12736,"FIRST INTEGRITY BANK, N.A.",STAPLES,,5/30/2008,52916,50178,FAILURE,10305
33901,ANB FINANCIAL NATIONAL ASSOCIATION,BENTONVILLE,,5/9/2008,1895545,1815691,FAILURE,1025204
1971,HUME BANK,HUME,,3/7/2008,18682,13566,FAILURE,3755
24660,DOUGLASS NATIONAL BANK,KANSAS CITY,,1/25/2008,52824,50250,FAILURE,7157
16848,MIAMI VALLEY BANK,LAKEVIEW,,10/4/2007,125362,119601,FAILURE,28394
32575,NETBANK,ALPHARETTA,,9/28/2007,2473806,2290046,FAILURE,119608
35353,METROPOLITAN SAVINGS BANK,PITTSBURGH,,2/2/2007,15760,14540,FAILURE,9438
1249,BANK OF EPHRAIM,EPHRAIM,,6/25/2004,56774,52329,FAILURE,2998
26778,RELIANCE BANK,WHITE PLAINS,,3/19/2004,28637,27881,FAILURE,919
26838,GUARANTY NATIONAL BANK,TALLAHASSEE,,3/12/2004,71280,65614,FAILURE,0
31330,DOLLAR SAVINGS BANK,NEWARK,,2/14/2004,13408,10909,FAILURE,0
27203,PULASKI SAVINGS BANK,PHILADELPHIA,,11/14/2003,8487,9058,FAILURE,679
11639,THE FIRST NATIONAL BANK OF BLANCHARDVILLE,BLANCHARDVILLE,,5/9/2003,34536,28760,FAILURE,12788
27094,SOUTHERN PACIFIC BANK,TORRANCE,,2/7/2003,904294,864160,FAILURE,49179
16445,THE FARMERS BANK & TRUST OF CHENEYVILLE,CHENEYVILLE,,12/17/2002,35317,32103,FAILURE,12205
9961,BANK OF ALAMO,ALAMO,,11/8/2002,58454,52157,FAILURE,9316
33784,AMTRADE INTERNATIONAL BANK OF GEORGIA,ATLANTA,,9/30/2002,92144,73205,FAILURE,1326
29355,UNIVERSAL FSB,CHICAGO,,6/27/2002,51628,40340,FAILURE,274
19183,CONNECTICUT BANK OF COMMERCE,STAMFORD,,6/26/2002,384172,344416,FAILURE,53784
34979,NEW CENTURY BANK,SHELBY TOWNSHIP,,3/28/2002,21091,18902,FAILURE,4440
26652,NET FIRST NATIONAL BANK,BOCA RATON,,3/1/2002,37207,31601,FAILURE,0
22314,NEXTBANK,PHOENIX,,2/7/2002,700180,551297,FAILURE,164047
8966,OAKWOOD DEPOSIT BANK,OAKWOOD,,2/1/2002,72267,60168,FAILURE,63600
22002,BANK OF SIERRA BLANCA,SIERRA BLANCA,,1/18/2002,10764,9914,FAILURE,4574
24382,"HAMILTON BANK, NATIONAL ASSOCIATION",MIAMI,,1/11/2002,1409496,1298731,FAILURE,101748
34248,SINCLAIR NATIONAL BANK,GRAVETTE,,9/7/2001,29792,26054,FAILURE,4206
32646,"SUPERIOR BANK, FSB",HINSDALE,,7/27/2001,1765455,1609501,FAILURE,286673
6629,MALTA NATIONAL BANK,MALTA,,5/3/2001,9075,8728,FAILURE,769
34264,FIRST ALLIANCE BANK AND TRUST CO,MANCHESTER,,2/2/2001,17438,16931,FAILURE,817
3815,NATIONAL STATE BANK OF METROPOLIS,METROPOLIS,,12/14/2000,90397,71277,FAILURE,2670
21029,BANK OF HONOLULU,HONOLULU,,10/13/2000,63890,59037,FAILURE,400
338,BANK OF FALKNER,FALKNER,,9/29/2000,85485,77140,FAILURE,14592
10985,TOWN & COUNTRY BANK OF ALMELUND,ALMELUND,,7/14/2000,25942,26667,FAILURE,1363
25056,MONUMENT NATIONAL BANK,RIDGECREST,,6/2/2000,7923,7680,FAILURE,617
27886,MUTUAL FEDERAL SAVINGS BANK OF ATLANTA,ATLANTA,,3/10/2000,31479,32234,FAILURE,1322
14228,HARTFORD-CARLISLE SB,CARLISLE,,1/14/2000,105044,68549,FAILURE,11574
26748,GOLDEN CITY COMMERCIAL BANK,NEW YORK,,12/10/1999,87158,80365,FAILURE,
27415,PACIFIC THRIFT AND LOAN CO,WOODLAND HILLS,,11/22/1999,127342,119451,FAILURE,42049
18147,PEOPLES NB OF COMMERCE,MIAMI,,9/10/1999,36823,35946,FAILURE,3342
6771,FIRST NB OF KEYSTONE,KEYSTONE,,9/1/1999,1119865,880859,FAILURE,532198
25272,EAST TEXAS NB OF MARSHALL,MARSHALL,,7/9/1999,121564,113054,FAILURE,9855
32491,"OCEANMARK BANK, A FSB",NORTH MIAMI BEACH,,7/9/1999,68981,61303,FAILURE,1195
13300,ZIA NEW MEXICO BANK,TUCUMCARI,,4/23/1999,17251,16708,FAILURE,2222
17200,VICTORY STATE BANK,COLUMBIA,,3/26/1999,13205,12887,FAILURE,0
2174,Q BANK,FORT BENTON,,8/7/1998,14977,13888,FAILURE,1590
