permit_id,job_id,bbl,borough,permit_type,permit_status,work_type,filing_date,issuance_date,expiration_date,bldg_type,owner_business_name,owner_business_type,permittee_business_name
290771,200073400,2030230005,BRONX,PL,ISSUED,PL,1992-12-16 ,1992-12-16 ,1993-09-01,2,TIEBOUT ASSOCIATES INC,,ELI-WOODSON PLUMBING
65722,200852327,2028770255,BRONX,NB,ISSUED,,2004-09-15 ,2004-09-15 ,2004-12-01,1,N/A,INDIVIDUAL,E. BROWN G.C.
3751358,302574355,3033650098,BROOKLYN,EW,ISSUED,OT,2020-03-20 ,2020-03-20 ,2021-03-20,2,NYCSCA,OTHER GOV'T AGENCY,PADILLA CONSTRUCTION SERV
2754253,340120933,3021100003,BROOKLYN,PL,ISSUED,PL,2014-08-20 ,2014-08-20 ,2015-08-20,2,"20 LAFAYETTE, LLC",INDIVIDUAL,PACE PLUMBING CORP
2939276,320592328,3021107501,BROOKLYN,EQ,ISSUED,EQ,2015-09-02 ,2015-09-02 ,2016-09-01,2,"20 LAFAYETTE, LLC",INDIVIDUAL,20 LAFAYETTE CONST LLC
3741015,322042883,3058610003,BROOKLYN,EW,ISSUED,OT,2020-02-18 ,2020-03-19 ,2021-01-16,2,N/A,INDIVIDUAL,CEKAJ CONSTRUCTION CORP
3750969,421401986,4116540047,QUEENS,EW,ISSUED,MH,2020-03-19 ,2020-03-19 ,2020-09-19,1,MEC PROPERTIES INC,CORPORATION,VELAR CORP
3750971,421401986,4116540047,QUEENS,EW,ISSUED,OT,2020-03-19 ,2020-03-19 ,2020-09-19,1,MEC PROPERTIES INC,CORPORATION,VELAR CORP
3751203,201195161,2024240001,BRONX,EW,ISSUED,OT,2020-03-19 ,2020-03-19 ,2021-03-19,2,SCHOOL CONSTRUCTION AUTHORITY,OTHER GOV'T AGENCY,ADAM'S EUROPEAN CONTRACTI
3751206,520389286,5023940064,STATEN ISLAND,EW,ISSUED,OT,2020-03-19 ,2020-03-19 ,2020-08-29,1,N/A,INDIVIDUAL,SMVP MGMT INC
3750524,123444488,1007380015,MANHATTAN,EW,ISSUED,OT,2020-03-18 ,2020-03-18 ,2021-04-01,2,N/A,PARTNERSHIP,B & A RESTORATION CONTRA
3750635,402890608,4122610001,QUEENS,EW,ISSUED,OT,2020-03-18 ,2020-03-18 ,2021-03-18,2,NYCSCA,OTHER GOV'T AGENCY,ADAM'S EUROPEAN CONTRACTI
3750190,421717681,4000827501,QUEENS,EW,ISSUED,OT,2020-03-17 ,2020-03-17 ,2021-03-02,2,NA,INDIVIDUAL,ARTEC CONSTRUCTION CORP
3750191,123495299,1000160180,MANHATTAN,EW,ISSUED,OT,2020-03-17 ,2020-03-17 ,2020-12-19,2,"RIVER TERRACE ASSOCIATES, LLC",CORPORATION,KLARACON LLC
484287,100945471,1021380040,MANHATTAN,EW,ISSUED,MH,1994-12-16 ,1994-12-16 ,1995-10-04,2,COLUMBIA UNVERSITY,,HELLMAN CONSTRUCTIONCO INC
515244,100962692,1021380040,MANHATTAN,PL,ISSUED,PL,1995-03-31 ,1995-03-31 ,1997-03-31,2,TRUSTEE OF COLO UNIV.,,A.MCPHEE & SONS INC
3749643,321823210,3032760001,BROOKLYN,EW,ISSUED,BL,2020-03-16 ,2020-03-16 ,2021-02-10,2,NEW YORK CITY HOUSING AUTHORITY,NYCHA/HHC,WATERMARK PLUMBING CORP
3749219,220660746,2024320047,BRONX,PL,ISSUED,PL,2020-03-13 ,2020-03-13 ,2021-03-13,2,B6B PARTNERS LP C/O LEEDS ASSOC,PARTNERSHIP,HAY MECHANICAL SOLUTIONS
3749380,123699257,1008510035,MANHATTAN,EW,ISSUED,OT,2020-03-13 ,2020-03-13 ,2021-03-01,2,300 PARK AVE. SO. L.L.C.,CORPORATION,SKYLINE RESTORATION INC
3697075,440585458,4140210058,QUEENS,EW,ISSUED,OT,2020-03-13 ,2020-03-13 ,2020-10-01,1,N/A,INDIVIDUAL,SUNRUN INSTALLATION SVC
3747579,421003345,4007760150,QUEENS,EW,ISSUED,OT,2020-03-09 ,2020-03-13 ,2021-03-01,2,NYC DEP,NYC AGENCY,JETT INDUSTRIES INC
3748864,220152144,2023840043,BRONX,EQ,ISSUED,EQ,2020-03-12 ,2020-03-12 ,2021-03-12,2,BRONX COMMONS LLC,PARTNERSHIP,BRONX COMMONS BUILDERS LL
3748966,121187731,1005800052,MANHATTAN,EQ,ISSUED,EQ,2020-03-12 ,2020-03-12 ,2021-03-12,2,TOLL NY II LLC,CORPORATION,TOLL GC LLC
3749014,421258203,4028820021,QUEENS,FO,ISSUED,,2020-03-12 ,2020-03-12 ,2021-02-21,1,ELMJURST TOWER LLC,PARTNERSHIP,MASTER WORKS CONTRACTOR I
1015449,301046794,3006990001,BROOKLYN,PL,ISSUED,PL,2000-09-27 ,2000-09-27 ,2001-09-27,2,MULVANNY PARTNERSHIP,PARTNERSHIP,VENEZIANO PLBG & HTG CORP
3748335,140680573,1019570105,MANHATTAN,EW,ISSUED,MH,2020-03-11 ,2020-03-11 ,2021-02-15,2,DORMITORY AUTHORITY STATE OF NY,OTHER GOV'T AGENCY,NEW STYLE CONTRACTORS INC
3748512,340721142,3023270022,BROOKLYN,EW,ISSUED,OT,2020-03-11 ,2020-03-11 ,2020-10-05,2,"CRYSTAL CAROUSEL, INC.",CORPORATION,MICHELLE KUO CORP
3748561,123046907,1015710022,MANHATTAN,EW,ISSUED,OT,2020-03-11 ,2020-03-11 ,2020-10-17,2,GLENWOOD MANAGEMENT,CORPORATION,YORK RESTORATION CORP
3748562,421650145,4099500044,QUEENS,PL,ISSUED,PL,2020-03-11 ,2020-03-11 ,2021-03-11,1,N/A,INDIVIDUAL,L&J PLG & HTG CO OF NY IN
3748589,421756807,4031530020,QUEENS,EW,ISSUED,OT,2020-03-11 ,2020-03-11 ,2021-02-01,1,N/A,INDIVIDUAL,JYNY CONSTRUCTION CORP
3748649,421682076,4080460033,QUEENS,EW,ISSUED,OT,2020-03-11 ,2020-03-11 ,2021-03-09,1,N/A,INDIVIDUAL,CHAMPION 1 CONSTRUCTION O
3747306,440588062,4021590020,QUEENS,EQ,ISSUED,EQ,2020-03-06 ,2020-03-11 ,2021-03-11,2,APEX PLACE ASSOCIATES LP,CORPORATION,HDK CONSTRUCTION LLC
3748104,421582807,4122690016,QUEENS,FO,ISSUED,,2020-03-10 ,2020-03-10 ,2021-03-01,1,-,INDIVIDUAL,KAIETEUR CONSTRUCTION INC
