bbl,borough,address,zip,bldg_class,land_use,year_built,num_floors,units_residential,units_total,lot_area_sqft,bldg_area_sqft,assess_total,owner_name,latitude,longitude
1000580001,MN,185 GREENWICH STREET,10007,O4,5,2009,104.0000000,0,7,833945,8966500,1785765150.00000,LOWER MANHATTAN DEVELOPMENT CORPORATION,40.7116390,-74.0123434
1006800001,MN,360 WEST STREET,10001,P9,8,1963,4.0000000,0,1,962250,4060596,953618400.00000,NEW YORK CONVENTION CENTER,40.7579518,-74.0022957
1010497501,MN,1 COLUMBUS CIRCLE,10019,RM,4,2004,54.0000000,226,234,149560,2101990,871090081.00000,TIME WARNER CENTER CONDOMINIUM,40.7684685,-73.9830936
1012940001,MN,761 5 AVENUE,10022,O4,5,1968,50.0000000,0,1,84350,1824820,826881300.00000,767 FIFTH PARTNERS LLC,40.7636082,-73.9724348
1009950033,MN,1111 AVENUE OF THE AMER,10036,O4,5,2005,55.0000000,0,48,87863,2245112,810414900.00000,ONE BRYANT PARK,40.7555629,-73.9847139
1007027501,MN,500 WEST 33 STREET,10001,RC,5,2015,68.0000000,0,9,198898,3224812,764317801.00000,UNAVAILABLE OWNER,40.7535301,-74.0008987
1007050039,MN,427 10 AVENUE,10001,O4,5,2019,58.0000000,0,2,69125,2521850,718870500.00000,50 HYMC OWNER LLC,40.7545346,-74.0001047
1012830021,MN,270 PARK AVENUE,10017,O4,5,2021,60.0000000,0,1,80333,2050615,687760650.00000,JPMORGAN CHASE BANK,40.7559814,-73.9759897
1012657501,MN,1250 AVENUE OF THE AMER,10020,RC,5,1937,70.0000000,0,107,107766,2122138,624065849.00000,ROCKEFELLER CENTER PROPERTIES (RCP),40.7591495,-73.9796452
1012770027,MN,51 EAST 42 STREET,10017,O4,5,2017,60.0000000,0,5,44048,1678135,604668150.00000,ONE VANDERBILT OWNER LLC,40.7529654,-73.9785534
1013730001,MN,MAIN STREET,10044,D4,3,1975,18.0000000,8018,8088,4227757,4786701,592936650.00000,"RIVERWALK 8 AFFORDABLE, L.P.",40.7661789,-73.9459217
1010010029,MN,1221 AVENUE OF THE AMER,10036,O4,5,1971,51.0000000,0,71,102452,2636182,581266350.00000,1221 AVENUE HOLDINGS LLC,40.7593805,-73.9820672
1007390001,MN,111 8 AVENUE,10011,O6,5,1931,17.0000000,0,133,165200,2161994,579639150.00000,ONE CITY BLOCK LLC,40.7413598,-74.0032081
1008350041,MN,338 5 AVENUE,10001,O4,5,1931,102.0000000,0,513,91351,2812739,577440900.00000,"ESRT EMPIRE STATE BUILDING, L.L.C.",40.7484514,-73.9857117
1007060017,MN,527 WEST 34 STREET,10001,O4,5,2018,66.0000000,0,1,67397,2221336,565683750.00000,"509 W 34, L.L.C.",40.7552291,-73.9995885
1013137501,MN,151 EAST 58 STREET,10022,RM,4,2001,54.0000000,105,109,84348,1103169,550589853.00000,ONE BEACON COURT CONDOMINIUM,40.7615758,-73.9676310
1010027501,MN,1251 AVENUE OF THE AMER,10020,RC,5,1970,54.0000000,0,56,98206,1793091,521838004.00000,UNAVAILABLE OWNER,40.7599705,-73.9816122
1002160001,MN,388 GREENWICH STREET,10013,O4,5,1989,39.0000000,0,2,172327,2354289,514589400.00000,"CITIGROUP TECHNOLOGY, INC.",40.7208642,-74.0110031
1013060001,MN,345 PARK AVENUE,10022,O4,5,1969,44.0000000,0,30,81337,1712218,512151300.00000,"345 PARK AVENUE, L.P.",40.7577537,-73.9724264
1012730022,MN,9 WEST 57 STREET,10019,O4,5,1971,49.0000000,0,31,62058,1698259,510335550.00000,"SOLOVIEFF REALTY CO. II, L.L.C.",40.7638860,-73.9749905
1010220043,MN,1631 BROADWAY,10019,O4,5,1972,48.0000000,0,47,90400,2438059,490918050.00000,"1633 BROADWAY OWNER II, LP",40.7621064,-73.9847016
1010030029,MN,1271 AVENUE OF THE AMER,10020,O4,5,1961,47.0000000,0,48,82340,1962900,487981350.00000,ROCKEFELLER CTR NORTH INC,40.7605413,-73.9810020
1011300001,MN,200 CENTRAL PARK WEST,10024,P7,8,1998,7.0000000,0,1,738000,1360264,485694900.00000,NYC DEPARTMENT OF CULTURAL AFFAIRS,40.7813533,-73.9740596
1012660001,MN,1260 AVENUE OF THE AMER,10020,O4,5,1932,31.0000000,0,603,184764,2734038,478125000.00000,RCPI HOLDCO LCC ATTN: TRACEY FRAZZETTA,40.7595308,-73.9785874
1012670001,MN,1290 AVENUE OF THE AMER,10119,O4,5,1963,43.0000000,0,78,89775,1899211,477962550.00000,"555 1290 HOLDINGS, LLC",40.7604723,-73.9788831
1010000029,MN,1211 AVENUE OF THE AMER,10036,O4,5,1973,45.0000000,0,109,84855,1984228,455571000.00000,"1211 6TH AVENUE SYNDICATION PARTNERS JV,  L.P.",40.7586641,-73.9823995
1013087501,MN,601 LEXINGTON AVENUE,10022,RC,5,1978,60.0000000,0,9,70572,1654020,454479301.00000,UNAVAILABLE OWNER,40.7583981,-73.9700366
1012687502,MN,666 5 AVENUE,10103,RC,5,1958,40.0000000,0,125,61755,1341058,449620651.00000,UNAVAILABLE OWNER,40.7603703,-73.9767065
1021380040,MN,180 FT WASHINGTON AVENUE,10032,I1,8,1930,22.0000000,0,1,364433,3533539,440619840.00000,PRESBYTERIAN HSP CITY NY,40.8406961,-73.9416362
1007297504,MN,395 9TH AVENUE,10001,RC,5,2015,69.0000000,0,2,65034,1976539,438739650.00000,BOP NE LLC,40.7526764,-73.9977045
1007819001,MN,420 8 AVENUE,10001,P6,9,1967,10.0000000,0,0,246875,1048620,438347250.00000,"MSG ARENA, LLC",,
1010040029,MN,1285 AVENUE OF THE AMER,10019,O4,5,1961,39.0000000,0,77,80333,1613847,437783850.00000,C & K 1285 OWNER LLC,40.7611643,-73.9805325
1007830070,MN,250 WEST 34 STREET,10001,O4,5,1972,57.0000000,0,451,127966,2689635,437083650.00000,KORPENN LLC,40.7512626,-73.9923737
1013087502,MN,399 PARK AVENUE,10022,RB,5,1969,39.0000000,0,2,81325,1526121,431857800.00000,399 PARK AVE CONDO BOARD OF MANAGER,40.7590050,-73.9715271
1012580009,MN,1114 AVENUE OF THE AMER,10036,O4,5,1971,47.0000000,0,62,67875,1517497,425490750.00000,1114 6TH AVENUE OWNER LLC,40.7548243,-73.9828480
1013010001,MN,245 PARK AVENUE,10017,O4,5,1966,45.0000000,0,35,81336,1586876,421720650.00000,METROPOLITAN TRANSPORTATION AUTHORITY,40.7546252,-73.9747233
1007020010,MN,501 WEST 30 STREET,10001,O4,5,2017,48.0000000,0,27,79943,1835464,406021500.00000,LEGACY YARDS TENANT LP,40.7527011,-74.0015773
1007050001,MN,380 11 AVENUE,10001,O4,5,2015,51.0000000,0,32,40015,1178640,399826800.00000,ONE HUDSON YARDS OWNER LLC,40.7552400,-74.0017650
1008547501,MN,11 MADISON AVENUE,10010,RB,5,1932,30.0000000,0,36,83937,1630256,399323699.00000,UNAVAILABLE OWNER,40.7415128,-73.9864854
